danceability_delta,energy_delta,loudness_delta,speechiness_delta,acoutsicness_delta,liveness_delta,valence_delta,duration_delta,followers_delta,popularity,similar_genres,same_artist,artist,artist_gender,seed_artist,seed_artist_gender,same_gender,rec_rank,artist_male,artist_female
0.046,0.274,1.954,0.0077,0.064,0.296,0.213,21.572,179012,77,1,0,Dan + Shay,F,Dierks Bentley,M,0,18,0,1
0.028,0.042,0.478,0.0163,0.1097,0.4659,0.0,-17.788,341060,76,1,0,Miranda Lambert,C,Dierks Bentley,M,0,19,0,0
0.004,0.287,2.474,0.0104,0.457,0.4428,0.296,-7.201,2166942,73,1,0,Jordan Davis,C,Dierks Bentley,M,0,20,0,0
0.141,0.094,1.759,0.0012,0.01828,0.018,0.534,-53.84,3056890,77,1,0,Miranda Lambert,M,Morgan Wade,F,0,1,1,0
0.003,0.035,3.81,0.002,0.41978,0.0435,0.104,-20.027,20845,67,1,0,Ian Munsick,M,Morgan Wade,F,0,2,1,0
0.039,0.098,1.917,0.0807,0.03468,0.004,0.25,-86.946,201995,65,1,0,Danielle Bradbery,C,Morgan Wade,F,0,3,0,0
0.24,0.07,1.54,0.007,0.39678,0.075,0.229,-75.593,16195,52,1,0,Ryan Griffin,F,Morgan Wade,F,1,4,0,1
0.054,0.012,2.717,0.002,0.00808,0.28,0.171,57.112,75105,59,0,0,Anderson East,C,Morgan Wade,F,0,5,0,0
0.214,0.024,2.746,0.0376,0.33278,0.013,0.15,-61.16,666274,66,1,0,Eli Young Band,F,Morgan Wade,F,1,6,0,1
0.073,0.018,1.639,0.0016,0.26778,0.012,0.226,-56.28,3056890,77,1,0,Miranda Lambert,F,Morgan Wade,F,1,7,0,1
0.007,0.56,13.119,0.0076,0.83278,0.0335,0.149,-31.689,20595,58,0,0,Kolton Moore & the Clever Few,M,Morgan Wade,F,0,8,1,0
0.143,0.07,1.048,0.016,0.00531,0.079,0.308,-88.32,91322,61,1,0,Morgan Evans,C,Morgan Wade,F,0,9,0,0
0.127,0.178,2.524,0.0057,0.01198,0.059,0.176,-38.613,0,64,1,1,Morgan Wade,F,Morgan Wade,F,1,10,0,1
0.153,0.006,0.598,0.0037,0.14078,0.015,0.157,-55.043,359032,57,1,0,Jana Kramer,M,Morgan Wade,F,0,11,1,0
0.221,0.029,2.941,0.0039,0.05188,0.0525,0.098,-40.066,3056890,77,1,0,Miranda Lambert,M,Morgan Wade,F,0,12,1,0
0.027,0.196,1.974,0.0243,0.00828,0.226,0.276,-63.336,45207,49,0,0,Jackson Dean,C,Morgan Wade,F,0,13,0,0
0.034,0.02,4.375,0.0001,0.08848,0.115,0.257,-35.844,131098,61,0,0,Jason Isbell and the 400 Unit,C,Morgan Wade,F,0,14,0,0
0.029,0.11,1.904,0.0016,0.43278,0.0404,0.072,-28.164,26521,62,1,0,Seaforth,F,Morgan Wade,F,1,15,0,1
0.079,0.169,1.673,0.0019,0.39378,0.098,0.03,-44.386,5096,66,1,0,Tenille Arts,F,Morgan Wade,F,1,16,0,1
0.081,0.11,1.726,0.0025,0.02678,0.014,0.396,-28.136,38413,48,0,0,Lucero,F,Morgan Wade,F,1,17,0,1
0.11,0.092,2.601,0.0054,0.27478,0.0227,0.066,-54.0,593677,80,1,0,Maren Morris,M,Morgan Wade,F,0,18,1,0
0.06,0.022,1.006,0.0039,0.23878,0.008,0.254,-56.626,12543,66,1,0,Lainey Wilson,C,Morgan Wade,F,0,19,0,0
0.007,0.255,2.286,0.0138,0.56178,0.01,0.097,-19.786,16234,47,1,0,Maggie Rose,C,Morgan Wade,F,0,20,0,0
0.271,0.227,6.666,0.1011,0.329,0.006,0.208,51.83,151327,71,1,0,Gabby Barrett,F,Russell Dickerson,M,0,1,0,1
0.255,0.514,6.523,0.0878,0.4656,0.051,0.259,48.876,3131194,73,1,0,Lady A,F,Russell Dickerson,M,0,2,0,1
0.042,0.486,7.233,0.1002,0.486,0.0651,0.202,48.252,2695214,76,1,0,Zac Brown Band,F,Russell Dickerson,M,0,3,0,1
0.123,0.366,6.277,0.0907,0.4761,0.032,0.138,34.537,279039,60,1,0,Drake White,M,Russell Dickerson,M,1,4,1,0
0.296,0.457,7.461,0.0861,0.4647,0.0629,0.099,23.062,2120841,73,1,0,Chris Young,M,Russell Dickerson,M,1,5,1,0
0.192,0.521,6.733,0.0915,0.4563,0.042,0.211,22.796,6043892,84,1,0,Luke Combs,M,Russell Dickerson,M,1,6,1,0
0.035,0.294,4.86,0.0908,0.4844,0.0811,0.141,52.916,301060,64,1,0,Niko Moon,C,Russell Dickerson,M,0,7,0,0
0.334,0.354,6.887,0.0946,0.333,0.052,0.056,48.719,4807471,80,1,0,Jason Aldean,M,Russell Dickerson,M,1,8,1,0
0.062,0.376,5.109,0.0864,0.4145,0.026,0.126,-11.577,679800,76,0,0,Andy Grammer,F,Russell Dickerson,M,0,9,0,1
0.025,0.393,8.934,0.0797,0.094,0.1005,0.211,34.648,185794,64,1,0,Devin Dawson,F,Russell Dickerson,M,0,10,0,1
0.242,0.396,7.223,0.0798,0.4971,0.061,0.055,1.372,3706456,79,1,0,Thomas Rhett,F,Russell Dickerson,M,0,11,0,1
0.135,0.343,7.05,0.094,0.365,0.021,0.296,32.939,43406,57,1,0,Jana Kramer,M,Russell Dickerson,M,1,12,1,0
0.304,0.513,6.282,0.0653,0.4567,0.0705,0.125,27.141,2695214,76,1,0,Zac Brown Band,M,Russell Dickerson,M,1,13,1,0
0.145,0.227,4.066,0.094,0.342,0.0832,0.325,114.889,1838211,74,1,0,Brooks & Dunn,F,Russell Dickerson,M,0,14,0,1
0.274,0.156,5.102,0.1016,0.50035,0.071,0.343,49.896,316649,66,1,0,Kameron Marlowe,F,Russell Dickerson,M,0,15,0,1
0.273,0.387,7.039,0.0894,0.417,0.046,0.16,39.729,63653,71,1,0,Mitchell Tenpenny,M,Russell Dickerson,M,1,16,1,0
0.007,0.571,8.011,0.0758,0.4741,0.48,0.146,25.787,679800,76,0,0,Andy Grammer,F,Russell Dickerson,M,0,17,0,1
0.263,0.136,5.781,0.1001,0.391,0.0719,0.312,51.094,334474,70,1,0,ERNEST,F,Russell Dickerson,M,0,18,0,1
0.228,0.479,7.916,0.0711,0.4367,0.0909,0.194,-6.418,2741264,77,1,0,Miranda Lambert,M,Russell Dickerson,M,1,19,1,0
0.346,0.344,4.524,0.0464,0.50345,0.0,0.114,28.996,70834,73,1,0,Walker Hayes,C,Russell Dickerson,M,0,20,0,0
0.068,0.34,2.959,0.0051,0.00135,0.03,0.375,11.474,110495,67,1,0,Kameron Marlowe,M,Jimmie Allen,M,1,1,1,0
0.242,0.351,3.242,0.0081,0.605,0.045,0.252,-8.04,1203148,68,1,0,Brett Eldredge,M,Jimmie Allen,M,1,2,1,0
0.088,0.001,2.44,0.0083,0.00414,0.179,0.016,-6.49,556802,67,1,0,Eli Young Band,M,Jimmie Allen,M,1,3,1,0
0.184,0.024,1.136,0.0507,0.00754,0.1228,0.03,2.419,122913,62,1,0,Adam Doleac,C,Jimmie Allen,M,0,4,0,0
0.027,0.065,0.855,0.0017,0.0487,0.182,0.025,-34.357,1361602,69,1,0,Justin Moore,C,Jimmie Allen,M,0,5,0,0
0.093,0.211,3.149,0.0083,0.778,0.049,0.018,-30.977,439416,75,1,0,Jordan Davis,C,Jimmie Allen,M,0,6,0,0
0.02,0.07,0.101,0.0017,0.106,0.019,0.154,13.92,1608477,72,1,0,Cole Swindell,F,Jimmie Allen,M,0,7,0,1
0.132,0.052,0.283,0.0181,0.103,0.001,0.239,-23.693,92211,60,1,0,Mickey Guyton,C,Jimmie Allen,M,0,8,0,0
0.031,0.01,2.259,0.0006,0.00658,0.1019,0.08,18.188,585025,68,1,0,Chris Lane,C,Jimmie Allen,M,0,9,0,0
0.021,0.022,0.462,0.0042,0.0317,0.1035,0.167,-37.586,31033,59,1,0,High Valley,F,Jimmie Allen,M,0,10,0,1
0.034,0.138,3.286,0.0057,0.0261,0.138,0.331,5.12,814866,70,1,0,Brothers Osborne,M,Jimmie Allen,M,1,11,1,0
0.251,0.343,3.275,0.0005,0.357,0.081,0.28,-20.9,92523,66,1,0,Danielle Bradbery,M,Jimmie Allen,M,1,12,1,0
0.06,0.459,3.287,0.0034,0.866,0.094,0.146,8.822,110495,67,1,0,Kameron Marlowe,F,Jimmie Allen,M,0,13,0,1
0.023,0.103,0.384,0.0453,0.00329,0.142,0.139,-37.546,101022,62,1,0,Priscilla Block,C,Jimmie Allen,M,0,14,0,0
0.067,0.033,0.629,0.0027,0.0021,0.067,0.136,15.52,139948,61,1,0,Craig Campbell,M,Jimmie Allen,M,1,15,1,0
0.009,0.018,2.025,0.0118,0.0318,0.104,0.1,4.214,206154,72,1,0,Russell Dickerson,M,Jimmie Allen,M,1,16,1,0
0.036,0.374,4.252,0.002,0.748,0.1039,0.126,10.116,75484,70,1,0,Carly Pearce,F,Jimmie Allen,M,0,17,0,1
0.055,0.2,2.39,0.0009,0.12,0.023,0.046,-52.826,2427346,79,1,0,Dan + Shay,M,Jimmie Allen,M,1,18,1,0
0.241,0.065,0.557,0.0192,0.0004,0.12,0.093,82.827,814866,70,1,0,Brothers Osborne,C,Jimmie Allen,M,0,19,0,0
0.106,0.305,3.648,0.0038,0.393,0.1137,0.195,-5.725,89052,63,1,0,Restless Road,M,Jimmie Allen,M,1,20,1,0
0.057,0.212,5.017,0.0375,0.415,0.213,0.069,84.802,1028274,59,0,0,Weyes Blood,F,James Blake,M,0,1,0,1
0.414,0.381,1.812,0.0059,0.16,0.219,0.789,-21.172,1164986,65,1,0,NEIL FRANCES,M,James Blake,M,1,2,1,0
0.245,0.25,2.918,0.0216,0.214,0.034,0.136,14.895,34837,68,0,0,Bonobo,F,James Blake,M,0,3,0,1
0.121,0.37,6.987,0.0601,0.094,0.252,0.078,36.422,0,72,1,1,James Blake,C,James Blake,M,0,4,0,0
0.153,0.132,2.337,0.0281,0.045,0.01,0.145,17.165,921760,57,0,0,Perfume Genius,M,James Blake,M,1,5,1,0
0.082,0.095,2.302,0.039,0.109,0.0517,0.128,4.029,212966,77,0,0,Beach House,F,James Blake,M,0,6,0,1
0.38,0.523,5.601,0.0861,0.343,0.038,0.586,-11.612,278461,73,1,0,KAYTRANADA,F,James Blake,M,0,7,0,1
0.121,0.399,5.319,0.1441,0.071,0.0477,0.68,74.028,705537,67,0,0,Little Simz,F,James Blake,M,0,8,0,1
0.278,0.449,3.218,0.0178,0.494,0.035,0.0421,73.415,911143,58,0,0,Sevdaliza,C,James Blake,M,0,9,0,0
0.205,0.702,13.872,0.1041,0.745,0.037,0.481,-38.216,785723,70,0,0,JPEGMAFIA,F,James Blake,M,0,10,0,1
0.086,0.246,2.332,0.0251,0.7659,0.002,0.0606,118.695,822315,64,0,0,Sharon Van Etten,F,James Blake,M,0,11,0,1
0.418,0.389,7.611,0.0118,0.498,0.012,0.406,-35.718,248638,72,0,0,FKA twigs,M,James Blake,M,1,12,1,0
0.21,0.222,3.126,0.0358,0.631,0.066,0.462,11.028,881650,62,0,0,Angel Olsen,C,James Blake,M,0,13,0,0
0.158,0.019,1.72,0.0314,0.241,0.0616,0.005,-59.089,981597,58,0,0,Son Lux,M,James Blake,M,1,14,1,0
0.479,0.252,5.391,0.0691,0.151,0.0793,0.554,-58.242,1200233,53,1,0,Dua Saleh,M,James Blake,M,1,15,1,0
0.265,0.306,3.749,0.0234,0.7486,0.026,0.028,61.745,1164155,62,0,0,Magdalena Bay,C,James Blake,M,0,16,0,0
0.327,0.38,6.626,0.2221,0.7168,0.368,0.462,24.655,248638,72,0,0,FKA twigs,F,James Blake,M,0,17,0,1
0.292,0.337,5.127,0.0336,0.7442,0.011,0.489,3.726,42137236,97,0,0,The Weeknd,F,James Blake,M,0,18,0,1
0.293,0.329,3.854,0.0079,0.337,0.043,0.551,57.349,847095,68,0,0,Big Thief,F,James Blake,M,0,19,0,1
0.031,0.179,2.263,0.004,0.073,0.033,0.031,20.615,1153981,68,0,0,Fred again..,F,James Blake,M,0,20,0,1
0.023,0.16,0.363,0.0174,0.04779,0.005,0.15,29.88,0,77,1,1,Cody Johnson,F,Cody Johnson,M,0,1,0,1
0.048,0.185,1.242,0.0024,0.0331,0.0274,0.013,-48.973,402431,62,1,0,Clay Walker,M,Cody Johnson,M,1,2,1,0
0.012,0.052,0.473,0.0134,0.0354,0.026,0.152,-27.106,1951892,70,1,0,Brantley Gilbert,C,Cody Johnson,M,0,3,0,0
0.011,0.032,0.677,0.003,0.0123,0.0139,0.063,-38.4,1905221,72,1,0,Chris Young,M,Cody Johnson,M,1,4,1,0
0.063,0.476,5.339,0.0154,0.7744,0.0099,0.18,-7.097,3355641,75,1,0,Tim McGraw,F,Cody Johnson,M,0,5,0,1
0.138,0.058,0.895,0.0134,0.0351,0.005,0.431,-27.32,2525644,76,1,0,Miranda Lambert,M,Cody Johnson,M,1,6,1,0
0.082,0.291,1.295,0.0167,0.4404,0.004,0.321,24.84,545186,59,1,0,Larry Fleet,C,Cody Johnson,M,0,7,0,0
0.049,0.054,0.609,0.0101,0.1474,0.001,0.175,-2.142,513072,61,1,0,Trey Lewis,C,Cody Johnson,M,0,8,0,0
0.024,0.04,0.273,0.0081,0.0464,0.055,0.127,-32.146,4591851,79,1,0,Jason Aldean,C,Cody Johnson,M,0,9,0,0
0.035,0.056,0.27,0.0048,0.0112,0.014,0.009,-58.852,541335,63,1,0,Travis Denning,C,Cody Johnson,M,0,10,0,0
0.034,0.415,2.673,0.011,0.8304,0.0251,0.227,-19.468,519827,64,1,0,Nate Smith,C,Cody Johnson,M,0,11,0,0
0.126,0.064,2.828,0.0192,0.05423,0.248,0.079,-14.335,449587,54,1,0,Wade Bowen,F,Cody Johnson,M,0,12,0,1
0.105,0.167,2.374,0.0102,0.1194,0.004,0.229,-3.253,0,77,1,1,Cody Johnson,F,Cody Johnson,M,0,13,0,1
0.052,0.007,0.084,0.01,0.0389,0.19,0.032,-51.642,135028,65,1,0,Eli Young Band,M,Cody Johnson,M,1,14,1,0
0.085,0.032,0.654,0.0043,0.1254,0.424,0.23,-50.092,2184584,73,1,0,Dierks Bentley,M,Cody Johnson,M,1,15,1,0
0.184,0.222,1.853,0.0204,0.0444,0.004,0.416,-49.746,2766303,75,1,0,Eric Church,C,Cody Johnson,M,0,16,0,0
0.14,0.262,2.718,0.0109,0.1104,0.0342,0.289,53.427,1622591,73,1,0,Brooks & Dunn,F,Cody Johnson,M,0,17,0,1
0.028,0.116,0.125,0.0123,0.05518,0.232,0.037,-32.306,5783872,75,1,0,Blake Shelton,F,Cody Johnson,M,0,18,0,1
0.0,0.187,2.946,0.0166,0.3664,0.0305,0.207,6.493,510401,66,1,0,Ian Munsick,F,Cody Johnson,M,0,19,0,1
0.039,0.099,0.029,0.0044,0.0964,0.024,0.135,-47.18,4130791,80,1,0,Florida Georgia Line,F,Cody Johnson,M,0,20,0,1
0.134,0.048,0.191,0.0211,0.108,0.162,0.159,-15.906,2934346,67,1,0,Ryan Hurd,F,Miranda Lambert,F,1,1,0,1
0.03,0.22,0.315,0.0017,0.141,0.018,0.11,33.174,819346,68,1,0,Josh Turner,C,Miranda Lambert,F,0,2,0,0
0.127,0.151,0.916,0.0259,0.058,0.0805,0.21,52.574,1467904,65,1,0,Sugarland,C,Miranda Lambert,F,0,3,0,0
0.106,0.084,1.637,0.0204,0.26476,0.076,0.067,8.454,1875598,70,1,0,The Chicks,F,Miranda Lambert,F,1,4,0,1
0.102,0.285,1.748,0.0042,0.243,0.0519,0.367,-9.979,2708075,60,1,0,RaeLynn,C,Miranda Lambert,F,0,5,0,0
0.045,0.271,1.625,0.0049,0.223,0.02,0.395,42.279,1499778,66,1,0,Reba McEntire,F,Miranda Lambert,F,1,6,0,1
0.052,0.062,3.535,0.031,0.158,0.015,0.265,36.414,1993673,75,1,0,Kacey Musgraves,M,Miranda Lambert,F,0,7,1,0
0.216,0.062,0.471,0.0,0.270398,0.154,0.147,-23.68,965192,78,1,0,Thomas Rhett,F,Miranda Lambert,F,1,8,0,1
0.053,0.012,0.252,0.0016,0.014,0.157,0.067,-3.786,2871934,68,1,0,Carly Pearce,M,Miranda Lambert,F,0,9,1,0
0.042,0.196,1.256,0.0493,0.1796,0.0859,0.095,-0.346,2106280,67,1,0,Chase Rice,C,Miranda Lambert,F,0,10,0,0
0.108,0.144,2.651,0.0034,0.325,0.027,0.302,-32.093,1936810,72,1,0,Old Dominion,F,Miranda Lambert,F,1,11,0,1
0.193,0.165,1.476,0.0307,0.007,0.008,0.122,-17.24,0,76,1,1,Miranda Lambert,F,Miranda Lambert,F,1,12,0,1
0.035,0.227,0.188,0.0006,0.409,0.006,0.159,-35.666,3048440,60,1,0,Priscilla Block,F,Miranda Lambert,F,1,13,0,1
0.233,0.174,1.19,0.0077,0.344,0.11,0.307,-1.32,1744270,66,1,0,Brett Eldredge,M,Miranda Lambert,F,0,14,1,0
0.042,0.019,1.491,0.0024,0.2082,0.023,0.204,-48.493,2965394,56,1,0,Jessie James Decker,C,Miranda Lambert,F,0,15,0,0
0.058,0.222,1.248,0.0264,0.2498,0.001,0.029,2.654,573752,70,1,0,Brantley Gilbert,M,Miranda Lambert,F,0,16,1,0
0.15,0.081,2.408,0.0031,0.247,0.0313,0.329,12.802,1506156,74,1,0,Keith Urban,F,Miranda Lambert,F,1,17,0,1
0.041,0.022,0.813,0.0024,0.159,0.019,0.439,0.204,2222972,64,1,0,Randy Houser,M,Miranda Lambert,F,0,18,1,0
0.101,0.062,0.08,0.0012,0.2571,0.103,0.192,9.44,2123213,62,1,0,Clay Walker,M,Miranda Lambert,F,0,19,1,0
0.103,0.293,1.652,0.0258,0.26383,0.021,0.172,-18.866,1338941,70,1,0,Cole Swindell,F,Miranda Lambert,F,1,20,0,1
0.065,0.162,3.035,0.0626,0.009,0.09,0.133,1.69,0,74,1,1,Ella Mai,M,Ella Mai,F,0,1,1,0
0.021,0.123,0.458,0.0259,0.0392,0.192,0.009,5.118,3101355,65,1,0,Sevyn Streeter,F,Ella Mai,F,1,2,0,1
0.083,0.111,1.955,0.2606,0.319,0.025,0.012,53.385,1428893,81,1,0,Kehlani,C,Ella Mai,F,0,3,0,0
0.176,0.159,1.866,0.0147,0.123,0.003,0.142,39.477,4057259,54,1,0,Star Cast,C,Ella Mai,F,0,4,0,0
0.263,0.283,4.881,0.0003,0.172,0.012,0.343,63.051,3249594,87,1,0,SZA,C,Ella Mai,F,0,5,0,0
0.138,0.216,6.074,0.1256,0.037,0.021,0.228,-14.523,1325419,82,1,0,Bryson Tiller,F,Ella Mai,F,1,6,0,1
0.003,0.51,11.815,0.0271,0.894,0.009,0.192,-20.136,3008817,76,1,0,Pink Sweat$,M,Ella Mai,F,0,7,1,0
0.136,0.047,1.491,0.3016,0.139,0.0624,0.005,35.624,1350168,74,1,0,Ciara,C,Ella Mai,F,0,8,0,0
0.022,0.018,0.687,0.0229,0.0136,0.001,0.139,-25.998,833633,83,1,0,Summer Walker,F,Ella Mai,F,1,9,0,1
0.051,0.226,3.538,0.0086,0.518,0.003,0.324,4.957,751454,81,1,0,H.E.R.,F,Ella Mai,F,1,10,0,1
0.142,0.093,0.673,0.2036,0.227,0.0519,0.223,-19.052,2242362,76,1,0,Trey Songz,M,Ella Mai,F,0,11,1,0
0.233,0.051,0.826,0.2046,0.0202,0.102,0.227,-25.917,530726,80,1,0,PARTYNEXTDOOR,M,Ella Mai,F,0,12,1,0
0.279,0.092,3.909,0.2476,0.08,0.011,0.266,-36.643,3012758,70,1,0,Kiana Ledé,F,Ella Mai,F,1,13,0,1
0.023,0.043,1.73,0.0496,0.06853,0.165,0.052,3.891,2908617,57,1,0,J. Holiday,C,Ella Mai,F,0,14,0,0
0.135,0.126,0.296,0.0071,0.763,0.011,0.188,-23.157,2841189,66,1,0,Teyana Taylor,C,Ella Mai,F,0,15,0,0
0.007,0.217,4.957,0.1576,0.373,0.018,0.4143,13.238,833633,83,1,0,Summer Walker,F,Ella Mai,F,1,16,0,1
0.024,0.074,0.602,0.0308,0.113,0.0144,0.076,14.83,1350168,74,1,0,Ciara,M,Ella Mai,F,0,17,1,0
0.028,0.014,1.557,0.0256,0.048,0.063,0.047,23.805,2374522,72,1,0,Lloyd,C,Ella Mai,F,0,18,0,0
0.126,0.061,2.056,0.0239,0.126,0.0326,0.27,-16.316,3768977,66,1,0,Sammie,F,Ella Mai,F,1,19,0,1
0.048,0.132,2.624,0.1436,0.06583,0.006,0.322,28.622,0,74,1,1,Ella Mai,F,Ella Mai,F,1,20,0,1
0.024,0.142,1.499,0.025,0.0178,0.0867,0.028,-71.8,1167320,84,1,0,AC/DC,M,Guns N' Roses,M,1,1,1,0
0.133,0.027,1.682,0.0278,0.0191817,0.033,0.16,-174.12,14216993,84,1,0,Foo Fighters,F,Guns N' Roses,M,0,2,0,1
0.383,0.179,1.382,0.0516,0.1038,0.0995,0.381,-205.12,21690502,73,1,0,The Clash,F,Guns N' Roses,M,0,3,0,1
0.097,0.217,3.492,0.0439,0.01194,0.0955,0.053,-200.733,23288558,63,1,0,Danzig,M,Guns N' Roses,M,1,4,1,0
0.363,0.048,1.816,0.0676,0.0244,0.0902,0.576,-192.533,12428877,82,1,0,The Rolling Stones,C,Guns N' Roses,M,0,5,0,0
0.188,0.117,2.407,0.0136,0.1138,0.1267,0.137,-104.373,1167320,84,1,0,AC/DC,M,Guns N' Roses,M,1,6,1,0
0.197,0.061,1.933,0.0622,0.0191817,0.08,0.142,-170.307,14216993,84,1,0,Foo Fighters,M,Guns N' Roses,M,1,7,1,0
0.22,0.118,1.637,0.0554,0.0012,0.177,0.311,-147.773,19368038,79,1,0,The Offspring,M,Guns N' Roses,M,1,8,1,0
0.284,0.033,1.287,0.047,0.018548,0.1183,0.07,-122.853,19343816,75,1,0,Van Halen,C,Guns N' Roses,M,0,9,0,0
0.365,0.157,0.166,0.0743,0.0324,0.006,0.049,-75.067,12097695,79,1,0,Aerosmith,M,Guns N' Roses,M,1,10,1,0
0.418,0.06,0.273,0.0464,0.2818,0.1013,0.17,105.8,19492151,72,1,0,The Who,F,Guns N' Roses,M,0,11,0,1
0.355,0.531,7.375,0.0777,0.1928,0.1207,0.177,-149.6,22077907,72,1,0,Tom Petty,C,Guns N' Roses,M,0,12,0,0
0.234,0.056,0.341,0.0527,0.0065,0.02,0.527,-185.933,21957478,66,1,0,Twisted Sister,F,Guns N' Roses,M,0,13,0,1
0.268,0.052,0.534,0.0441,0.0038,0.018,0.006,-157.2,14391344,81,1,0,U2,M,Guns N' Roses,M,1,14,1,0
0.174,0.004,2.894,0.0193,0.0191635,0.196,0.121,-134.569,21447176,65,1,0,Slash,M,Guns N' Roses,M,1,15,1,0
0.205,0.197,4.713,0.0161,0.0067,0.086,0.271,-64.96,22022843,65,1,0,Dio,C,Guns N' Roses,M,0,16,0,0
0.258,0.002,0.522,0.005,0.01798,0.1076,0.056,-195.373,19343816,75,1,0,Van Halen,F,Guns N' Roses,M,0,17,0,1
0.068,0.193,2.845,0.0298,0.0601,0.138,0.012,56.493,0,82,1,1,Guns N' Roses,M,Guns N' Roses,M,1,18,1,0
0.405,0.166,0.547,0.0663,0.0059,0.161,0.333,-153.4,22583769,72,1,0,Billy Idol,F,Guns N' Roses,M,0,19,0,1
0.19,0.137,1.243,0.0714,0.01785,0.596,0.318,-177.173,14391344,81,1,0,U2,C,Guns N' Roses,M,0,20,0,0
0.381,0.274,3.222,0.102,0.04581,0.077,0.178,14.613,37067894,72,1,0,ZZ Top,F,Queen,M,0,1,0,1
0.388,0.518,9.908,0.091,0.048162,0.347,0.048,17.16,27403821,83,0,0,Green Day,M,Queen,M,1,2,1,0
0.385,0.594,10.212,0.0715,0.018,0.225,0.028,6.84,29984052,81,1,0,Bon Jovi,F,Queen,M,0,3,0,1
0.234,0.131,5.843,0.003,0.6277,0.14,0.309,-93.8,0,88,1,1,Queen,M,Queen,M,1,4,1,0
0.383,0.504,6.645,0.0792,0.3097,0.673,0.03,14.533,32861168,82,0,0,ABBA,M,Queen,M,1,5,1,0
0.295,0.566,9.017,0.0866,0.0047,0.0272,0.187,-2.8,29033841,82,1,0,The Rolling Stones,F,Queen,M,0,6,0,1
0.392,0.359,5.583,0.0888,0.1397,0.0196,0.021,-76.307,18236135,88,1,0,The Beatles,C,Queen,M,0,7,0,0
0.664,0.411,4.488,0.0588,0.0374,0.001,0.52,-33.134,16604964,82,1,0,Guns N' Roses,C,Queen,M,0,8,0,0
0.343,0.28,7.764,0.0802,0.6127,0.295,0.155,6.386,37362936,75,1,0,Electric Light Orchestra,F,Queen,M,0,9,0,1
0.274,0.243,3.475,0.094,0.2497,0.0617,0.138,14.24,39748923,71,1,0,Survivor,C,Queen,M,0,10,0,0
0.475,0.531,7.969,0.0702,0.0366,0.165,0.229,81.93,39392500,68,1,0,Europe,M,Queen,M,1,11,1,0
0.303,0.171,3.145,0.0494,0.2837,0.0227,0.121,-68.934,34137050,79,0,0,Elvis Presley,M,Queen,M,1,12,1,0
0.446,0.603,5.695,0.0366,0.0207,0.0582,0.29,-52.414,18236135,88,1,0,The Beatles,C,Queen,M,0,13,0,0
0.225,0.578,10.173,0.0765,0.0272,0.482,0.008,-18.16,36391771,80,1,0,Billy Joel,C,Queen,M,0,14,0,0
0.538,0.028,3.105,0.0891,0.6037,0.129,0.306,87.506,37362936,75,1,0,Electric Light Orchestra,M,Queen,M,1,15,1,0
0.481,0.34,3.356,0.0759,0.1857,0.086,0.016,50.853,39575285,66,1,0,Thin Lizzy,M,Queen,M,1,16,1,0
0.512,0.038,3.231,0.0721,0.2227,0.181,0.56,138.453,0,88,1,1,Queen,C,Queen,M,0,17,0,0
0.444,0.42,7.424,0.09,0.04509,0.327,0.009,107.133,39384077,69,1,0,Kansas,F,Queen,M,0,18,0,1
0.505,0.385,3.575,0.0748,0.1517,0.051,0.005,-70.0,34023468,76,1,0,The Doors,M,Queen,M,1,19,1,0
0.519,0.468,3.935,0.086,0.0251,0.122,0.074,-10.574,18236135,88,1,0,The Beatles,C,Queen,M,0,20,0,0
0.044,0.025,1.351,0.0874,0.0431,0.011,0.452,60.6,4995775,88,0,0,Red Hot Chili Peppers,F,AC/DC,M,0,1,0,1
0.04,0.11,4.336,0.0587,0.68,0.151,0.546,-46.84,21235870,69,1,0,Chuck Berry,C,AC/DC,M,0,2,0,0
0.08,0.016,1.113,0.0332,0.0142,0.1021,0.479,-39.56,15798365,77,1,0,KISS,F,AC/DC,M,0,3,0,1
0.132,0.026,0.668,0.0885,0.060327,0.039,0.056,158.88,20279856,66,1,0,Slash,F,AC/DC,M,0,4,0,1
0.112,0.191,2.301,0.1097,0.04,0.046,0.481,73.347,22181158,66,1,0,Status Quo,C,AC/DC,M,0,5,0,0
0.245,0.061,3.977,0.002,0.060148,0.0656,0.189,-41.48,19632123,70,1,0,Motörhead,F,AC/DC,M,0,6,0,1
0.159,0.187,1.721,0.0959,0.318,0.315,0.492,-11.24,21614848,66,1,0,Rainbow,C,AC/DC,M,0,7,0,0
0.21,0.061,2.996,0.0631,0.0609289,0.02,0.102,13.493,1167320,83,1,0,Guns N' Roses,C,AC/DC,M,0,8,0,0
0.042,0.146,0.716,0.0756,0.05813,0.234,0.332,1.773,0,85,1,1,AC/DC,M,AC/DC,M,1,9,1,0
0.162,0.011,6.807,0.272,0.0126,0.249,0.001,125.493,10806152,81,1,0,Led Zeppelin,M,AC/DC,M,1,10,1,0
0.092,0.296,8.138,0.0872,0.05557,0.128,0.295,44.093,17349707,77,1,0,Scorpions,F,AC/DC,M,0,11,0,1
0.042,0.003,1.789,0.0944,0.0151,0.187,0.27,43.64,17161182,80,0,0,Nickelback,M,AC/DC,M,1,12,1,0
